time,open,high,low,close,Buy Signal,Sell Signal,Volume,Volume MA
1386288000,1020.51,1033.13,542.38,784.9,NaN,NaN,159899,88449.80027786951
1386547200,787,989.6,766.66,879.04,NaN,NaN,82434,91230.494075803
1386806400,879.04,920.42,832.01,854.99,NaN,NaN,36029,90228.8187010955
1387065600,850.78,869.98,612.51,675,NaN,NaN,113376,92592.25971247102
1387324800,675,719.97,382.21,608.77,NaN,NaN,234694,100489.85723087851
1387584000,610,690,550,654.76,NaN,NaN,49890,96895.106785062
1387843200,654.76,764.32,628.11,747.83,NaN,NaN,47309,96634.585312062
1388102400,747.83,762.1,682.22,728,NaN,NaN,37626,95791.519356037
1388361600,728.01,740,709,732,NaN,NaN,14411,95246.849455646
1388534400,732,818.99,729.01,809.4,NaN,NaN,37835,93034.926858793
1388793600,808.24,995,790.2,919.2,NaN,NaN,60869,89582.540993172
1389052800,915.8,943,765,826.54,NaN,NaN,85549,86932.891117907
1389312000,825.5,909.96,799.41,844.05,NaN,NaN,41048,84481.4630725885
1389571200,844.04,850.26,783.11,841.14,NaN,NaN,41239,82728.5
1389830400,841.14,849,765,811.83,NaN,NaN,30643,74945.15
1390089600,810,845,791.01,824.89,NaN,NaN,22931,72288.1
1390348800,824.88,824.99,767.02,779.19,NaN,NaN,31328,70210.8
1390608000,780,834,725,749.34,NaN,NaN,43239,67922.1
1390867200,750.95,812.93,740.01,799.99,NaN,NaN,40155,64632.7
1391126400,799.99,827.38,791,815,NaN,NaN,20233,61536.85
1391385600,814.94,815,775,781.8,NaN,NaN,20844,54584.1
1391644800,780.01,803,619,674,NaN,NaN,100324,55478.6
1391904000,680.49,755.42,530,675.1,NaN,NaN,126907,60022.5
1392163200,677,712.9,538.01,669,NaN,NaN,111909,59949.15
1392422400,670.34,673.17,590.01,633.66,NaN,NaN,66955,51562.2
1392681600,633.66,650,560.9,561.86,NaN,NaN,60778,52106.6
1392940800,561.86,646,530.01,611.99,NaN,NaN,68351,53158.7
1393200000,609.9,629,400,585.23,NaN,NaN,216676,62111.2
1393459200,585.24,599.99,535,567.47,NaN,NaN,53844,64082.85
1393718400,567.46,710,553,673.28,NaN,NaN,99315,67156.85
1393977600,673.27,679.97,613.45,632.79,NaN,NaN,44543,66340.55
1394236800,632.79,653,604.5,629.4,NaN,NaN,31974,63661.8
1394496000,628.02,656.95,614.17,641.01,NaN,NaN,28535,63036.15
1394755200,641.02,645,625.29,633.04,NaN,NaN,14040,61676.2
1395014400,634.99,634.99,591.13,611.2,NaN,NaN,31002,61694.15
1395273600,610.01,611.3,541,565.31,NaN,NaN,46877,62891.45
1395532800,564.31,592.6,547,583.77,NaN,NaN,27677,62708.9
1395792000,583.77,592,466.1,501.17,NaN,NaN,93839,65238.9
1396051200,502.01,508,436,454.83,NaN,NaN,59799.65095953,66221.1325479765
1396310400,454.81,509.98,416.11,451.03,NaN,NaN,84328.45121748,69425.9051088505
1396569600,451.03,465,430.77,456.27,NaN,NaN,27450.47648356,69756.2289330285
1396828800,459.97,464.19,438.08,441.69,NaN,NaN,21270.27448057,65803.542657057
1397088000,441.69,442.46,339.79,423.42,NaN,NaN,102647.64229195,64590.5747716545
1397347200,424.91,528.75,397.16,521,NaN,NaN,77209.8849049,62855.61901689951
1397606400,523.1,548,470,483.11,NaN,NaN,61795,62597.61901689951
1397865600,482.1,516.53,472.81,496.74,NaN,NaN,24059,60761.669016899505
